title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Shivers,Ed Sheeran,2021,1302184087,141,D,Major,79,82,86,28,0,4,9
Heather,Conan Gray,2020,1301799902,92,F,Major,47,25,43,62,0,32,3
I Wanna Be Yours,Arctic Monkeys,2013,1297026226,135,unknown,Minor,48,44,42,12,2,11,3
Iris,The Goo Goo Dolls,1998,1284942608,156,B,Minor,32,49,72,0,0,9,4
Danza Kuduro,Don Omar . Lucenzo,2010,1279434863,130,unknown,Major,47,86,92,8,0,5,24
Creep,Radiohead,1992,1271293243,92,G,Major,53,12,34,1,0,12,4
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013,1267333350,92,D,Major,70,81,63,4,0,8,4
Titi Me Preguntï¿,Bad Bunny,2022,1264310836,107,F,Minor,65,19,72,10,0,13,25
Yonaguni,Bad Bunny,2021,1260594497,180,C-sharp,Major,64,44,65,28,0,14,12
deja vu,Olivia Rodrigo,2021,1256880657,181,A,Major,44,22,60,61,0,42,9
positions,Ariana Grande,2020,1252563873,144,unknown,Major,73,66,80,44,0,9,12
Mockingbird,Eminem,2004,1241559043,84,E,Minor,62,24,67,21,0,13,28
We Found Love,Rihanna . Calvin Harris,2011,1235005533,128,C-sharp,Major,73,60,77,3,0,11,4
traitor,Juan Cruz Toledo . Huilen Toledo,2021,1230855859,176,D-sharp,Major,29,12,33,68,0,12,5
Unholy (feat. Kim Petras),Sam Smith . Kim Petras,2022,1230675890,131,D,Major,71,24,47,1,0,27,9
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons . League of Legends . JID . Arcane,2021,1223481149,77,B,Minor,72,59,76,24,0,42,28
Enemy - from the series Arcane League of Legends,Imagine Dragons . League of Legends . Arcane,2021,1223481149,77,G,Major,73,54,74,23,0,41,23
Save Your Tears (with Ariana Grande) (Remix),Ariana Grande . The Weeknd,2020,1221813483,118,unknown,Major,65,63,79,3,0,10,3
505,Arctic Monkeys,2007,1217120710,140,unknown,Major,52,20,85,0,0,7,5
La Bachata,Manuel Turizo,2022,1214083358,125,G,Minor,84,85,68,58,0,22,4
Still D.R.E.,Dr. Dre . Snoop Dogg,1999,1210599487,93,B,Major,81,53,78,18,0,6,24
Everybody Wants To Rule The World,Tears For Fears,1985,1205951614,112,G,Major,64,54,81,36,0,11,6
In Da Club,50 Cent,2002,1202722675,90,F-sharp,Minor,90,79,71,26,0,7,37
Hope,XXXTENTACION,2018,1200808494,146,A,Minor,59,23,46,66,0,15,6
Contection,GODZZ__- . Zakaria,2020,1180896317,166,A-sharp,Minor,81,83,75,14,0,29,34
you broke me first,Tate McRae,2020,1180094974,124,E,Major,64,8,37,79,0,9,5
